sample_id,site_name,latitude,longitude,age_BP,richness,shannon_H,evenness,openness,pollen_sum,roc_chord
173173,Abborrtjärnen,63.88333,14.45,-52.0,8.0,1.4599757102314708,0.7020999056564284,0.1391304347826087,100.00000000000003,
173174,Abborrtjärnen,63.88333,14.45,19.0,9.0,1.6434504674977757,0.7479665412673447,0.1598062953995157,99.99999999999997,0.09255424942049736
173175,Abborrtjärnen,63.88333,14.45,90.0,9.0,1.5170036998869516,0.6904181372875748,0.1002444987775061,100.00000000000001,0.0856181695080767
173176,Abborrtjärnen,63.88333,14.45,161.0,9.0,1.5535793946541296,0.7070644533466826,0.11046511627906978,100.0,0.06739686907402519
173177,Abborrtjärnen,63.88333,14.45,232.0,7.0,1.430642425669685,0.7352047710754904,0.08849557522123896,99.99999999999997,0.045669913601749816
173178,Abborrtjärnen,63.88333,14.45,303.0,8.0,1.5366314554078544,0.7389635267969673,0.14141414141414144,100.0,0.11811068884380727
173179,Abborrtjärnen,63.88333,14.45,374.0,8.0,1.46482358935283,0.7044312427121665,0.14583333333333331,100.0,0.05328384831001503
173180,Abborrtjärnen,63.88333,14.45,516.0,7.0,1.3456224573634485,0.6915131502945867,0.10727969348659004,100.00000000000001,0.038405449566028246
173181,Abborrtjärnen,63.88333,14.45,658.0,7.0,1.358167465957896,0.6979600094162876,0.08243727598566307,100.00000000000001,0.09609306666568246
173182,Abborrtjärnen,63.88333,14.45,800.0,7.0,1.327869953095068,0.6823901677781541,0.08745247148288972,100.0,0.11967115432865963
173183,Abborrtjärnen,63.88333,14.45,942.0,7.0,1.303773296167984,0.670006935726673,0.08480565371024734,100.0,0.05741450132523189
173184,Abborrtjärnen,63.88333,14.45,1085.0,7.0,1.359293349030521,0.6985385988610118,0.06622516556291391,100.0,0.09055741787171863
173185,Abborrtjärnen,63.88333,14.45,1227.0,8.0,1.3695626180803249,0.6586203990971301,0.0859106529209622,100.0,0.14481985950163462
173186,Abborrtjärnen,63.88333,14.45,1369.0,6.0,1.236872259638085,0.6903115517904687,0.05106382978723404,100.0,0.1058787398690863
173187,Abborrtjärnen,63.88333,14.45,1511.0,8.0,1.4156511909216383,0.6807843175904009,0.043352601156069384,100.0,0.161409764522652
173188,Abborrtjärnen,63.88333,14.45,1605.0,8.0,1.5826254185124726,0.7610819476242549,0.09999999999999999,100.0,0.26362372232130915
173189,Abborrtjärnen,63.88333,14.45,1672.0,8.0,1.5019130118658648,0.7222674846884968,0.04774535809018568,99.99999999999996,0.1293017640168798
173190,Abborrtjärnen,63.88333,14.45,1738.0,5.0,1.3574980948434399,0.8434609899243465,0.038910505836575876,100.0,0.13632548755052895
173191,Abborrtjärnen,63.88333,14.45,1804.0,6.0,1.4026628265274328,0.7828410289533689,0.03757225433526011,100.00000000000003,0.1436166740474996
173192,Abborrtjärnen,63.88333,14.45,1871.0,7.0,1.395869573654117,0.7173350600652213,0.05604719764011799,100.0,0.05115155376996058
173193,Abborrtjärnen,63.88333,14.45,1937.0,7.0,1.4075999817502856,0.7233632973411631,0.0537313432835821,99.99999999999999,0.09399032601056796
173194,Abborrtjärnen,63.88333,14.45,2003.0,8.0,1.459211681731876,0.7017324856139407,0.0467706013363029,100.00000000000003,0.23785001855746576
173195,Abborrtjärnen,63.88333,14.45,2070.0,7.0,1.4033384385511252,0.7211732973551775,0.023404255319148932,100.0,0.04753133029804194
173196,Abborrtjärnen,63.88333,14.45,2136.0,6.0,1.3516322105744834,0.7543602999105723,0.022556390977443618,100.00000000000001,0.07181904908365078
173197,Abborrtjärnen,63.88333,14.45,2202.0,6.0,1.385166267916551,0.7730760136645591,0.03044496487119438,100.0,0.036177781104218314
173198,Abborrtjärnen,63.88333,14.45,2242.0,7.0,1.312615670336723,0.6745510171546012,0.03439153439153439,100.00000000000003,0.0504473995314408
173199,Abborrtjärnen,63.88333,14.45,2300.0,6.0,1.279970939689589,0.7143653831175453,0.032989690721649485,100.00000000000003,0.1681392369774126
173200,Abborrtjärnen,63.88333,14.45,2359.0,9.0,1.3850898085523053,0.6303815380726823,0.03578528827037773,100.00000000000003,0.1270101188524904
173201,Abborrtjärnen,63.88333,14.45,2418.0,8.0,1.3188883108144094,0.6342512084994568,0.030737704918032786,100.0,0.09219325789366824
173202,Abborrtjärnen,63.88333,14.45,2476.0,9.0,1.3281684284885458,0.6044755015887979,0.031067961165048546,100.0,0.028460816118904074
173203,Abborrtjärnen,63.88333,14.45,2535.0,6.0,1.1795420804556158,0.6583149695666455,0.018442622950819672,100.00000000000001,0.07248375139794186
173204,Abborrtjärnen,63.88333,14.45,2594.0,8.0,1.1783275949956034,0.5666557926142587,0.014792899408284021,100.0,0.04160944302129476
173205,Abborrtjärnen,63.88333,14.45,2653.0,10.0,1.3047727681280925,0.5666556133356616,0.03152364273204904,100.0,0.10693226653028619
173206,Abborrtjärnen,63.88333,14.45,2711.0,6.0,1.1683176279711325,0.6520504833578358,0.020344287949921755,100.0,0.023398525256869647
173207,Abborrtjärnen,63.88333,14.45,2770.0,8.0,1.3203597196833485,0.6349588065922364,0.03580562659846548,100.00000000000003,0.14174144790703122
173208,Abborrtjärnen,63.88333,14.45,2829.0,8.0,1.1875335787469135,0.5710829349824318,0.030425963488843827,99.99999999999997,0.08050469990197776
173209,Abborrtjärnen,63.88333,14.45,2887.0,8.0,1.048770572743166,0.5043520347756145,0.022959183673469382,99.99999999999997,0.0742301294588528
173210,Abborrtjärnen,63.88333,14.45,2962.0,8.0,1.2024919252607909,0.578276379094255,0.02527075812274367,100.0,0.1069148492304538
